date,measureValue,t365,s365,t420,s420
2020-07-01 14:10:18.296,0.0000,0,0,0,0
2020-07-01 14:10:53.294,0.0000,0,0,0,0
2020-07-01 14:10:55.294,0.0000,0,0,0,0
2020-07-01 14:10:57.295,0.0000,0,0,0,0
2020-07-01 14:10:59.295,0.0000,0,0,0,0
2020-07-01 14:11:01.824,0.0000,0,0,0,0
2020-07-01 14:11:03.328,0.0000,0,0,0,0
2020-07-01 14:11:05.328,0.0000,0,0,0,0
2020-07-01 14:11:24.159,0.0000,0,0,0,0
2020-07-01 14:11:26.159,0.0000,0,0,0,0
2020-07-01 14:11:28.159,0.0000,0,0,0,0
2020-07-01 14:11:30.160,0.0000,0,0,0,0
2020-07-01 14:11:32.160,0.0000,0,0,0,0
2020-07-01 14:11:34.160,0.0000,0,0,0,0
2020-07-01 14:11:36.161,0.0000,0,0,0,0
2020-07-01 14:11:58.021,0.0000,0,0,0,0
2020-07-01 14:12:00.021,0.0000,0,0,0,0
2020-07-01 14:12:02.022,0.0000,0,0,0,0
2020-07-01 14:12:04.022,0.0000,0,0,0,0
2020-07-01 14:12:06.022,0.0000,0,0,0,0
2020-07-01 14:12:16.713,0.0000,0,0,0,0
2020-07-01 14:12:18.712,0.0000,0,0,0,0
2020-07-01 14:13:53.217,0.0000,0,0,0,0
2020-07-01 14:13:55.217,0.0000,0,0,0,0
2020-07-01 14:13:57.217,0.0000,0,0,0,0
2020-07-01 14:13:59.218,0.0000,0,0,0,0
2020-07-01 14:14:01.217,0.0000,0,0,0,0
2020-07-01 14:14:03.218,0.0000,0,0,0,0
2020-07-01 14:14:05.219,0.0000,0,0,0,0
2020-07-01 14:14:07.218,0.0000,0,0,0,0
2020-07-01 14:14:09.219,0.0000,0,0,0,0
2020-07-01 14:14:11.220,0.0000,0,0,0,0
2020-07-01 14:15:45.170,0.0000,0,0,0,0
2020-07-01 14:15:47.170,0.0000,0,0,0,0
2020-07-01 14:15:49.171,0.0000,0,0,0,0
2020-07-01 14:15:51.171,0.0000,0,0,0,0
2020-07-01 14:15:53.171,0.0000,0,0,0,0
2020-07-01 14:15:55.172,0.0000,0,0,0,0
2020-07-01 14:15:57.173,0.0000,0,0,0,0
2020-07-01 14:15:59.189,0.0000,0,0,0,0
2020-07-01 14:16:01.174,0.0000,0,0,0,0
2020-07-01 15:52:14.513,0.0000,0,0,0,0
2020-07-01 15:52:16.513,0.0000,0,0,0,0
2020-07-01 15:52:18.514,0.0000,0,0,0,0
2020-07-01 15:52:20.514,0.0000,0,0,0,0
2020-07-01 15:52:22.515,0.0000,0,0,0,0
2020-07-01 15:52:24.515,0.0000,0,0,0,0
2020-07-01 15:52:26.515,0.0000,0,0,0,0
2020-07-01 15:52:35.957,0.0000,0,0,0,0
2020-07-01 15:52:37.957,0.0000,0,0,0,0
2020-07-01 15:52:39.957,0.0000,0,0,0,0
2020-07-01 15:52:41.958,0.0000,0,0,0,0
2020-07-01 15:52:43.958,0.0000,0,0,0,0
2020-07-01 15:52:45.958,0.0000,0,0,0,0
2020-07-01 15:52:47.959,0.0000,0,0,0,0
2020-07-01 15:52:49.959,0.0000,0,0,0,0
2020-07-01 15:52:51.959,0.0000,0,0,0,0
2020-07-01 15:52:53.960,0.0000,0,0,0,0
2020-07-01 15:52:55.961,0.0000,0,0,0,0
2020-07-01 15:52:57.968,0.0000,0,0,0,0
2020-07-01 15:55:28.780,0.0000,0,0,0,0
2020-07-01 15:55:30.830,0.0000,0,0,0,0
2020-07-01 15:55:34.590,0.0000,0,0,0,0
2020-07-01 15:55:50.462,0.0000,0,0,0,0
